ID,Media_GAP,Gap,BKS,Mean_Time,Solver_Time,Perc_Fact
110,0.94,0.0,0.0,0.03,6.16,60.0
111,,0.0,0.0,,8.95,0.0
112,0.79,0.0,0.0,0.03,5.68,80.0
113,,0.0,0.0,,10.11,0.0
114,1.0,0.0,0.0,0.04,8.18,3.33
115,1.0,0.0,0.0,0.04,8.42,36.67
116,1.0,0.0,0.0,0.04,8.57,26.67
117,0.87,0.0,0.0,0.04,8.59,26.67
118,0.4,0.0,0.0,0.04,10.5,83.33
119,1.0,0.0,0.0,0.04,8.85,3.33
120,1.0,0.0,0.0,0.03,2105.74,10.0
121,,0.37,-12.0,,3609.55,0.0
122,,0.0,-41.0,,3611.41,0.0
123,,0.0,0.0,,3039.65,0.0
124,,0.16,-48.0,,3611.62,0.0
125,,0.17,-59.0,,3613.53,0.0
126,0.62,0.15,-105.0,0.05,3615.04,3.33
127,,0.37,-61.0,,3613.23,0.0
128,,0.22,-175.0,,3616.59,0.0
129,,0.16,-307.0,,3620.01,0.0
130,,0.41,-88.0,,3614.66,0.0
131,,0.3,-146.0,,3616.77,0.0
