ID, objective_function, status_Gurobi, time, time
1,0,2,0:00:00.509499,0.5094987489283085
2,0,2,0:00:00.673034,0.6730340383946896
3,0,2,0:00:00.886580,0.8865804672241211
4,0,2,0:00:00.521081,0.521081455051899
5,0,2,0:00:00.589226,0.5892263166606426
6,0,2,0:00:00.963471,0.963470596820116
7,0,2,0:00:00.796217,0.7962168008089066
8,0,2,0:00:00.840427,0.8404268212616444
9,0,2,0:00:00.674885,0.674884807318449
10,0,2,0:00:01.236859,1.2368589714169502
11,0,2,0:00:00.743503,0.7435031309723854
12,0,2,0:00:00.895199,0.8951988220214844
13,0,2,0:00:00.995207,0.9952068962156773
14,0,2,0:00:00.747249,0.747249498963356
15,0,2,0:00:00.929132,0.929132342338562
16,0,2,0:00:01.863104,1.863104347139597
17,0,2,0:00:01.286383,1.2863834463059902
18,0,2,0:00:01.425679,1.4256789684295654
19,0,2,0:00:01.916264,1.9162643998861313
20,0,2,0:00:01.762232,1.7622319497168064
21,0,2,0:00:01.876135,1.8761346749961376
22,0,2,0:00:02.365051,2.365050755441189
23,0,2,0:00:01.851127,1.8511265106499195
24,0,2,0:00:02.075035,2.0750349201261997
25,0,2,0:00:02.032192,2.032192386686802
26,0,2,0:00:02.526987,2.526987262070179
27,0,2,0:00:03.025702,3.025702264159918
28,0,2,0:00:02.801431,2.801430769264698
29,0,2,0:00:02.224991,2.224991410970688
30,0,2,0:00:02.809525,2.809524744749069
31,0,2,0:00:13.112403,13.112402886152267
32,-18,9,1:00:04.018902,3604.0189015343785
33,0,2,0:00:16.033216,16.033215925097466
34,0,2,0:00:04.715822,4.715822149068117
35,-8,9,1:00:03.882792,3603.88279241696
36,-1,9,1:00:04.503836,3604.503835979849
37,-7,9,1:00:03.728442,3603.7284424081445
38,-20,9,1:00:04.730491,3604.730490632355
39,0,2,0:00:33.090173,33.09017261862755
40,-14,9,1:00:04.394600,3604.394599854946
41,-22,9,1:00:04.861735,3604.861735008657
42,-17,9,1:00:04.529348,3604.529347643256
43,-50,9,1:00:05.406635,3605.406635079533
44,-35,9,1:00:05.427655,3605.42765455693
45,-29,9,1:00:04.743794,3604.743794117123
46,0,2,0:00:01.547031,1.5470313467085361
47,0,2,0:00:01.364488,1.3644880056381226
48,0,2,0:00:01.336005,1.3360045216977596
49,0,2,0:00:01.170272,1.1702720187604427
50,0,2,0:00:02.526889,2.5268890596926212
51,0,2,0:00:02.458213,2.45821326225996
52,0,2,0:00:02.426757,2.426757402718067
53,0,2,0:00:02.192320,2.1923203207552433
54,0,2,0:00:02.623280,2.6232796534895897
55,0,2,0:00:02.405554,2.4055542200803757
56,0,2,0:00:04.281885,4.281884968280792
57,0,2,0:00:03.847958,3.847958452999592
58,0,2,0:00:03.585075,3.5850748494267464
59,0,2,0:00:02.987785,2.9877848401665688
60,0,2,0:00:02.666321,2.6663211099803448
61,0,2,0:00:04.857853,4.857853230088949
62,0,2,0:00:04.956786,4.956785913556814
63,0,2,0:00:06.196070,6.196070499718189
64,0,2,0:00:04.646148,4.6461484506726265
65,0,2,0:00:04.709642,4.7096421755850315
66,0,2,0:00:06.542274,6.542273733764887
67,0,2,0:00:08.492761,8.492761448025703
68,0,2,0:00:05.587566,5.587565816938877
69,0,2,0:00:03.673765,3.6737649776041508
70,0,2,0:00:03.813819,3.8138186372816563
71,0,2,0:00:04.728530,4.728529900312424
72,0,2,0:00:06.814528,6.8145284578204155
73,0,2,0:00:04.516983,4.516983490437269
74,0,2,0:00:05.637800,5.637800008058548
75,0,2,0:00:04.060757,4.060756966471672
76,-88,9,1:00:07.484550,3607.484550192952
77,-22,9,1:00:07.310559,3607.310559477657
78,0,2,0:00:08.941841,8.941841047257185
79,-17,9,1:00:06.019301,3606.0193007700145
80,-18,9,1:00:06.714091,3606.7140909545124
81,-135,9,1:00:10.474516,3610.474515799433
82,-86,9,1:00:09.475281,3609.4752812944353
83,-57,9,1:00:08.305300,3608.305299539119
84,-13,9,1:00:06.867823,3606.8678227476776
85,-49,9,1:00:08.343046,3608.3430459797382
86,-51,9,1:00:08.417491,3608.417490500957
87,-97,9,1:00:10.040226,3610.040226303041
88,-90,9,1:00:08.698297,3608.698296532035
89,-87,9,1:00:09.323249,3609.3232490569353
90,0,2,0:00:02.008878,2.0088775418698788
91,0,2,0:00:02.631969,2.6319694221019745
92,0,2,0:00:02.412984,2.4129842333495617
93,0,2,0:00:02.518443,2.5184434056282043
94,0,2,0:00:02.343650,2.3436500281095505
95,0,2,0:00:02.986110,2.986109871417284
96,0,2,0:00:02.545650,2.5456498116254807
97,0,2,0:00:02.162962,2.162962205708027
98,0,2,0:00:02.286463,2.286462876945734
99,0,2,0:00:02.743826,2.7438259571790695
100,0,2,0:00:02.708628,2.7086279690265656
101,0,2,0:00:03.304219,3.304218851029873
102,0,2,0:00:03.538967,3.538966540247202
103,0,2,0:00:03.538472,3.5384718254208565
104,0,2,0:00:03.476548,3.476547747850418
105,0,2,0:00:06.003763,6.003762669861317
106,0,2,0:00:05.174053,5.174053031951189
107,0,2,0:00:04.889013,4.889012940227985
108,0,2,0:00:05.122502,5.1225020959973335
109,0,2,0:00:07.290908,7.290908291935921
110,0,2,0:00:06.164512,6.164511781185865
111,0,2,0:00:08.947199,8.947198823094368
112,0,2,0:00:05.678335,5.678334537893534
113,0,2,0:00:10.112850,10.112850073724985
114,0,2,0:00:08.176944,8.176944494247437
115,0,2,0:00:08.415064,8.41506427899003
116,0,2,0:00:08.572396,8.572396490722895
117,0,2,0:00:08.594350,8.59435024857521
118,0,2,0:00:10.495172,10.495171777904034
119,0,2,0:00:08.852683,8.852682862430811
120,0,2,0:35:05.743159,2105.743159122765
121,-19,9,1:00:09.548826,3609.548826061189
122,-41,9,1:00:11.409521,3611.40952090919
123,0,2,0:50:39.645131,3039.6451314873993
124,-57,9,1:00:11.621595,3611.6215950623155
125,-71,9,1:00:13.529852,3613.5298519916832
126,-124,9,1:00:15.040353,3615.0403529815376
